0.3425,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.3627,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.3827,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.4032,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.4236,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.4436,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.4636,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.4837,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.5040,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.5243,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.5442,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.5643,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.5846,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.6048,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.6249,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.6450,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.6652,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.6852,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.7053,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.7256,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.7457,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.7659,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
0.7859,AXES,0=0.5429,1=0.3143,2=0.0000,3=0.0000,4=0.0000,5=0.0000,BUTTONS,1=0,2=0,3=0,4=0,5=0
